,PMID,First Author,Title,N,Disease,Intervention,Total Fibers [g],Fiber Type,Duration [weeks],Arms,Crossover,Country,Region,Data Availability,Metadata Availability,Filter,Notes,DOI
613,39179206,BaroneLumagaR_2024,Consumption of a Sourdough-Leavened Croissant Enriched with a Blend of Fibers Influences Fasting Blood Glucose in a Randomized Controlled Trial in Healthy Subjects,32.0,NO,4.8g vs 1.3g fiber croissant,4.81,General,2.0,2.0,NO,,,PRJNA1243897,YES,N,Not Fiber Intervention,https://doi.org/10.1016/j.tjnut.2024.08.015
161,30586752,BartolomaeusH_2019,Short-Chain Fatty Acid Propionate Protects From Hypertensive Cardiovascular Damage,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1161/CIRCULATIONAHA.118.036652
166,30696735,BaxterNT_2019_Fructans,Dynamics of Human Gut Microbiota and Short-Chain Fatty Acids in Response to Dietary Interventions with Three Fermentable Fibers,50.0,NO,Inulin,20.0,Fructans,2.0,4.0,NO,USA,North America,PRJNA428736,YES,Y,16s,https://doi.org/10.1128/mbio.02566-18
167,30696735,BaxterNT_2019_RS2,Dynamics of Human Gut Microbiota and Short-Chain Fatty Acids in Response to Dietary Interventions with Three Fermentable Fibers,86.0,NO,RS2,26.0,RS2,2.0,4.0,NO,USA,North America,PRJNA428736,YES,Y,16s,https://doi.org/10.1128/mbio.02566-18
318,34212778,BealeAL_2021,The Gut Microbiome of Heart Failure With Preserved Ejection Fraction,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1161/JAHA.120.020654
1,20370946,BeardsE_2010,A human volunteer study to assess the impact of confectionery sweeteners on the gut microbiota composition,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1017/S0007114510001078
457,36782292,BearsonSMD_2023,Effects of β-glucan on Salmonella enterica serovar Typhimurium swine colonization and microbiota alterations,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1186/s40813-023-00302-4
73,27507236,BechshøftRL_2016,Counteracting Age-related Loss of Skeletal Muscle Mass: a clinical and ethnological trial on the role of protein supplementation and training load (CALM Intervention Study): study protocol for a randomized controlled trial,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1186/s13063-016-1512-0
353,34839011,BeckerA_2022,"Effects of Resistant Starch on Symptoms, Fecal Markers, and Gut Microbiota in Parkinson's Disease - The RESISTA-PD Trial",87.0,Parkinson,PD Resistant starch vs healthy Resistant starch vs PD control,,,8.0,3.0,NO,,,PRJCA004435,NO,N,Data Not Available,https://doi.org/10.1016/j.gpb.2021.08.009
209,31711172,BecraftAR_2020,"Intake of Watermelon or Its Byproducts Alters Glucose Metabolism, the Microbiome, and Hepatic Proinflammatory Metabolites in High-Fat-Fed Male C57BL/6 J Mice",,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1093/jn/nxz267
700,40459489,"BekeM.P.PhD,RDN_2025",Managing Constipation and Its Risks in Parkinson's Disease: Is There a Role for Dietary Fiber?,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3148/cjdpr-2025-015
328,34341379,BelLassenP_2021,Protein supplementation during an energy-restricted diet induces visceral fat loss and gut microbiota amino acid metabolism activation: a randomized trial,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41598-021-94916-9
339,34579043,BelLassenP_2021,"Protein Intake, Metabolic Status and the Gut Microbiota in Different Ethnicities: Results from Two Independent Cohorts",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu13093159
363,35045871,BellKJ_2022,Metabolite-based dietary supplementation in human type 1 diabetes is associated with microbiota and immune modulation,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1186/s40168-021-01193-9
107,28971068,Benítez-PáezA_2017,The Glycolytic Versatility of Bacteroides uniformis CECT 7771 and Its Genome Response to Oligo and Polysaccharides,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3389/fcimb.2017.00383
290,33629506,Benítez-PáezA_2021,"Sex, Food, and the Gut Microbiota: Disparate Response to Caloric Restriction Diet with Fiber Supplementation in Women and Men",,,,,,,,,,,NO,,N,Metadata not clear,https://doi.org/10.1002/mnfr.202000996
184,31138673,BenitezPaezA_2019,A Multi-omics Approach to Unraveling the Microbiome-Mediated Effects of Arabinoxylan Oligosaccharides in Overweight Humans,15.0,Overweight,AXOS,10.4,Arabinoxylan,12.0,2.0,YES,Finland,Europe,PRJEB25727,YES,Y,Shotgun,https://doi.org/10.1128/msystems.00209-19
265,32951067,BerdingK_2021,"A specific dietary fibre supplementation improves cognitive performance-an exploratory randomised, placebo-controlled, crossover study",18.0,NO,Polydextrose,12.0,Polydextrose,4,2,YES,,,,,N,Data Not Available,https://doi.org/10.1007/s00213-020-05665-y
133,29993025,BererK_2018,Dietary non-fermentable fiber prevents autoimmune neurological disease by changing gut metabolic and immune status,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1038/s41598-018-28839-3
78,27993177,BergeronN_2016,"Diets high in resistant starch increase plasma levels of trimethylamine-N-oxide, a gut microbiome metabolite associated with CVD risk",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1017/S0007114516004165
305,33971938,BerghC_2021,"Effects of Bilberry and Oat intake on lipids, inflammation and exercise capacity after Acute Myocardial Infarction (BIOAMI): study protocol for a randomized, double-blind, placebo-controlled trial",,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1186/s13063-021-05287-5
498,37444219,BesterA_2023,Shotgun Metagenomic Sequencing Revealed the Prebiotic Potential of a Fruit Juice Drink with Fermentable Fibres in Healthy Humans,20.0,,MOJU Prebiotic shot,,,3.0,,,,,NO,,N,Data Not Available,https://doi.org/10.3390/foods12132480
598,39064648,BeteriB_2024,"Impact of Combined Prebiotic Galacto-Oligosaccharides and Bifidobacterium breve-Derived Postbiotic on Gut Microbiota and HbA1c in Prediabetic Adults: A Double-Blind, Randomized, Placebo-Controlled Study",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu16142205
264,32899326,BezekK_2020,Obesity Measures and Dietary Parameters as Predictors of Gut Microbiota Phyla in Healthy Individuals,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu12092695
440,36424459,BichVTN_2022,Moderate and transient impact of antibiotic use on the gut microbiota in a rural Vietnamese cohort,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41598-022-24488-9
242,32440730,BirkelandE_2020,Prebiotic effect of inulin-type fructans on faecal microbiota and short-chain fatty acids in type 2 diabetes: a randomised controlled trial,25.0,NO,Inulin,16.0,,6.0,,,,,,,N,Data Not Available,https://doi.org/10.1007/s00394-020-02282-5
704,40471453,BirkelandE_2025,Can supplements with prebiotic fibres positively influence bone health in type 2 diabetes? Insights from a randomised controlled crossover trial,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1007/s11657-025-01556-x
312,34120835,BirueteA_2021,Effect of Dietary Inulin Supplementation on the Gut Microbiota Composition and Derived Metabolites of Individuals Undergoing Hemodialysis: A Pilot Study,12.0,Hemodialysis,Inulin,10.0,,4.0,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1053/j.jrn.2020.10.003
419,35956273,BizeauJB_2022,Dietary Inulin Supplementation Affects Specific Plasmalogen Species in the Brain,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu14153097
98,28620472,BlædelT_2016,"A randomised, controlled, crossover study of the effect of diet on angiopoietin-like protein 4 (ANGPTL4) through modification of the gut microbiome",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1017/jns.2016.38
447,36569851,Blázquez-BondiaC_2022,Probiotic effects on immunity and microbiome in HIV-1 discordant patients,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3389/fimmu.2022.1066036
713,40681534,BlicharzL_2025_2025,Severity of atopic dermatitis is associated with gut-derived metabolites and leaky gut-related biomarkers,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41598-025-09520-y
308,34016947,BloemendaalM_2021,Probiotics-induced changes in gut microbial composition and its effects on cognitive performance after stress: exploratory analyses,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41398-021-01404-9
64,27157575,BogovičMatijašićB_2016,"Effects of synbiotic fermented milk containing Lactobacillus acidophilus La-5 and Bifidobacterium animalis ssp. lactis BB-12 on the fecal microbiota of adults with irritable bowel syndrome: A randomized double-blind, placebo-controlled trial",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3168/jds.2015-10743
499,37447363,BoucherE_2023,Inulin Prebiotic Protects against Lethal Pseudomonas aeruginosa Acute Infection via γδ T Cell Activation,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu15133037
217,31979019,BrandlB_2020,Effects of Extrinsic Wheat Fiber Supplementation on Fecal Weight; A Randomized Controlled Trial,29.0,NO,Fiber enriched foods,,,,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu12020298
273,33108521,BratlieM_2021,"Effects of high intake of cod or salmon on gut microbiota profile, faecal output and serum concentrations of lipids and bile acids in overweight adults: a randomised clinical trial",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1007/s00394-020-02417-8
418,35952350,BruntVE_2022,"Suppression of trimethylamine N-oxide with DMB mitigates vascular dysfunction, exercise intolerance, and frailty associated with a Western-style diet in mice",,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1152/japplphysiol.00350.2022
609,39146178,BuchananRW_2024,Prebiotic Treatment in People With Schizophrenia,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1097/JCP.0000000000001899
544,38331563,BuddenKF_2024,Faecal microbial transfer and complex carbohydrates mediate protection against COPD,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1136/gutjnl-2023-330521
66,27314331,BuiguesC_2016,"Effect of a Prebiotic Formulation on Frailty Syndrome: A Randomized, Double-Blind Clinical Trial",,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.3390/ijms17060932
278,33303023,BushJR_2020,Increasing levels of Parasutterella in the gut microbiome correlate with improving low-density lipoprotein levels in healthy adults consuming resistant potato starch during a randomised trial,35,NO,MSPrebiotic,,RS2,,,,,,,,N,Data Not Available,https://doi.org/10.1186/s40795-020-00398-9
688,40224142,CailleA_2025,Positive nutritional selection of adults with healthy lifestyle and high daily fiber consumption for the isolation of beneficial intestinal bacteria: The iTARGET cohort study protocol,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.mex.2025.103268
542,38323473,Calvete-TorreI_2024,Gut microbiota modulation and effects of a diet enriched in apple pomace on inflammation in a DSS-induced colitis mouse model,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1039/d3fo04277d
494,37322527,CampbellA_2023,H(2) generated by fermentation in the human gut microbiome influences metabolism and competitive fitness of gut butyrate producers,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1186/s40168-023-01565-3
63,27151248,CandelaM_2016,Modulation of gut microbiota dysbioses in type 2 diabetic patients by macrobiotic Ma-Pi 2 diet,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1017/S0007114516001045
90,28396144,CanforaEE_2017,"Supplementation of Diet With Galacto-oligosaccharides Increases Bifidobacteria, but Not Insulin Sensitivity, in Obese Prediabetic Individuals",44.0,Prediabetes,Galacto-oligosaccharides,15.0,,12.0,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.1053/j.gastro.2017.03.051
444,36511265,CaoJ_2023,"Soluble dietary fiber and cellulose from Saccharina japonica by-product ameliorate Loperamide-induced constipation via modulating enteric neurotransmitters, short-chain fatty acids and gut microbiota",,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1016/j.ijbiomac.2022.11.243
2,20487589,Carvalho-WellsAL_2010,Determination of the in vivo prebiotic potential of a maize-based whole grain breakfast cereal: a human feeding study,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1017/S0007114510002084
611,39171571,Castonguay-ParadisS_2025,The Human Fecal Endocannabinoidome Mediator Profile Is Mainly Defined by the Fecal Microbiota and Diet,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1210/clinem/dgae586
89,28377388,CatryE_2018,Targeting the gut microbiota with inulin-type fructans: preclinical demonstration of a novel approach in the management of endothelial dysfunction,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1136/gutjnl-2016-313316
341,34593556,ChadchanSB_2021,Gut microbiota-derived short-chain fatty acids protect against the progression of endometriosis,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.26508/lsa.202101224
180,30971437,ChambersES_2019,"Dietary supplementation with inulin-propionate ester or inulin improves insulin sensitivity in adults with overweight and obesity with distinct effects on the gut microbiota, plasma metabolome and systemic inflammatory responses: a randomised cross-over trial",12.0,Overweight,Inulin,20.0,,7.0,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1136/gutjnl-2019-318424
139,30098126,ChambersES_2019,The effects of dietary supplementation with inulin and inulin-propionate ester on hepatic steatosis in adults with non-alcoholic fatty liver disease,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1111/dom.13500
675,39998325,ChenB_2025,Gut Microbiota-Butyrate-PPARγ Axis Modulates Adipose Regulatory T Cell Population,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1002/advs.202411086
445,36515546,ChenC_2023,"Characterizations of the Gut Bacteriome, Mycobiome, and Virome in Patients with Osteoarthritis",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1128/spectrum.01711-22
18,23553152,ChenHM_2013,Decreased dietary fiber intake and structural alteration of gut microbiota in patients with advanced colorectal adenoma,,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.3945/ajcn.112.046607
129,29866614,ChenJ_2018,Inflammation-Modulating Effect of Butyrate in the Prevention of Colon Cancer by Dietary Fiber,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1016/j.clcc.2018.05.001
459,36794003,ChenL_2023,"High-fiber diet ameliorates gut microbiota, serum metabolism and emotional mood in type 2 diabetes patients",9.0,Type 2 diabetes,High Fiber,,,2.0,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fcimb.2023.1069954
493,37277984,ChenLL_2023,Longitudinal study of gut microbiome in obsessive-compulsive disorder,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1002/brb3.3115
165,30670754,ChenSY_2019,Gut microbiota profiling with differential tolerance against the reduced dietary fibre level in rabbit,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1038/s41598-018-36534-6
538,38201863,ChenY_2023,Astaxanthin Ameliorates Worsened Muscle Dysfunction of MDX Mice Fed with a High-Fat Diet through Reducing Lipotoxicity and Regulating Gut Microbiota,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3390/nu16010033
189,31244792,CherbuyC_2019,Modulation of the Caecal Gut Microbiota of Mice by Dietary Supplement Containing Resistant Starch: Impact Is Donor-Dependent,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.3389/fmicb.2019.01234
214,31969191,ChijiiwaR_2020,Single-cell genomics of uncultured bacteria reveals dietary fiber responders in the mouse gut microbiota,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1186/s40168-019-0779-2
421,35993118,ChiouWC_2022,Gut microbiota-directed intervention with high-amylose maize ameliorates metabolic dysfunction in diet-induced obese mice,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1039/d2fo01211a
233,32230987,ChongCYL_2020,Randomised Double-Blind Placebo-Controlled Trial of Inulin with Metronidazole in Non-Alcoholic Fatty Liver Disease (NAFLD),,,,,,,,,,,,,N,Invasive Disease / Treatment,https://doi.org/10.3390/nu12040937
528,38035997,ChooiYC_2024,Effect of an Asian-adapted Mediterranean diet and pentadecanoic acid on fatty liver disease: the TANGO randomized controlled trial,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.ajcnut.2023.11.013
197,31504699,ChristensenL_2019,"Prevotella Abundance Predicts Weight Loss Success in Healthy, Overweight Adults Consuming a Whole-Grain Diet Ad Libitum: A Post Hoc Analysis of a 6-Wk Randomized Controlled Trial",24.0,NO,Whole grain,33.0,,6.0,2.0,NO,,,NO,,N,Data Not Available,https://doi.org/10.1093/jn/nxz198
279,33319645,ChristensenL_2020,Microbial enterotypes beyond genus level: Bacteroides species as a predictive biomarker for weight change upon controlled intervention with arabinoxylan oligosaccharides in overweight subjects,29.0,Overweight,AXOS,10.4,AXOS,4.0,2,NO,Denmark,North Europe,PRJEB25727,YES,N,Duplicated,https://doi.org/10.1080/19490976.2020.1847627
208,31686768,ChuJR_2019,Prebiotic UG1601 mitigates constipation-related events in association with gut microbiota: A randomized placebo-controlled intervention study,20.0,,Inulin,8.0,,,,,,,,,N,Data Not Available,https://doi.org/10.3748/wjg.v25.i40.6129
304,33924834,ClancyAK_2021,Dietary Intakes of Recipients of Faecal Microbiota Transplantation: An Observational Pilot Study,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3390/nu13051487
348,34760906,ClancyAK_2021,"Dietary Management for Faecal Microbiota Transplant: An International Survey of Clinical and Research Practice, Knowledge and Attitudes",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3389/fnut.2021.653653
169,30803510,ClarkRL_2019,Educational intervention improves fruit and vegetable intake in young adults with metabolic syndrome components,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.nutres.2018.11.010
16,23498848,Closa-MonasteroloR_2013,Safety and efficacy of inulin and oligofructose supplementation in infant formula: results from a randomized clinical trial,,,,,,,,,,,,,N,Excluded Cohort Type,https://doi.org/10.1016/j.clnu.2013.02.009
519,37876886,Colin-RamirezE_2023,The Need for Fiber Addition in Symptomatic Heart Failure (FEAST-HF): A Randomized Controlled Pilot Trial,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1016/j.cjco.2023.07.005
77,27872611,ConnollyML_2016,"Hypocholesterolemic and Prebiotic Effects of a Whole-Grain Oat-Based Granola Breakfast Cereal in a Cardio-Metabolic ""At Risk"" Population",,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.3389/fmicb.2016.01675
111,29124388,ConternoL_2019,Measuring the impact of olive pomace enriched biscuits on the gut microbiota and its metabolic activity in mildly hypercholesterolaemic subjects,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1007/s00394-017-1572-2
85,28230784,CooperDN_2017,"The Effects of Moderate Whole Grain Consumption on Fasting Glucose and Lipids, Gastrointestinal Symptoms, and Microbiota",,NO,Whole grain vs Refine DIET,,,6.0,,,,,,,N,Data Not Available,https://doi.org/10.3390/nu9020173
276,33188413,Cortes-MacíasE_2021,Maternal Diet Shapes the Breast Milk Microbiota Composition and Diversity: Impact of Mode of Delivery and Antibiotic Exposure,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1093/jn/nxaa310
80,28107445,CosolaC_2017,Beta-Glucans Supplementation Associates with Reduction in P-Cresyl Sulfate Levels and Improved Endothelial Vascular Reactivity in Healthy Individuals,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1371/journal.pone.0169635
57,26731113,CostabileA_2016,Prebiotic Potential of a Maize-Based Soluble Fibre and Impact of Dose on the Human Gut Microbiota,,,,,,,,,,,,,N,Data Not Available,https://doi.org/10.1371/journal.pone.0144457
646,39662692,CostiganCM_2024,One Year of Gluten-Free Diet Impacts Gut Function and Microbiome in Celiac Disease,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1016/j.cgh.2024.11.006
239,32358520,CoutzacC_2020,Systemic short chain fatty acids limit antitumor effect of CTLA-4 blockade in hosts with cancer,,,,,,,,,,,,,N,Not Fiber Intervention,https://doi.org/10.1038/s41467-020-16079-x
